id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
bitcoin,89303.0,1763751978828,-2.10418,91711.0,86995.0,93477.0,67.81,15-11-2024_16-26-58
ethereum,3101.48,373097413356,-2.8967,3199.74,3020.2,4878.26,0.432979,15-11-2024_16-26-58
tether,1.001,127346059591,0.05023,1.004,0.991905,1.32,0.572521,15-11-2024_16-26-58
solana,213.54,100616152333,-2.6757,219.41,205.06,259.96,0.500801,15-11-2024_16-26-58
binancecoin,623.61,90849068279,-1.91309,639.79,609.03,717.48,0.0398177,15-11-2024_16-26-58
dogecoin,0.369368,54191780781,-8.22554,0.412975,0.356103,0.731578,8.69e-05,15-11-2024_16-26-58
ripple,0.816226,46404672938,14.58215,0.838609,0.702213,3.4,0.00268621,15-11-2024_16-26-58
usd-coin,1.0,36756924363,0.04095,1.003,0.992697,1.17,0.877647,15-11-2024_16-26-58
staked-ether,3097.37,30313377256,-2.92351,3194.02,3018.8,4829.57,482.9,15-11-2024_16-26-58
cardano,0.617315,22051455053,7.79881,0.621413,0.543761,3.09,0.01925275,15-11-2024_16-26-58
tron,0.18055,15579391064,-0.51825,0.184625,0.176216,0.231673,0.00180434,15-11-2024_16-26-58
shiba-inu,2.41e-05,14192014330,-7.00194,2.605e-05,2.281e-05,8.616e-05,5.6366e-11,15-11-2024_16-26-58
the-open-network,5.31,13506576252,-1.74048,5.42,5.17,8.25,0.519364,15-11-2024_16-26-58
wrapped-steth,3658.98,13208527029,-3.54665,3796.52,3577.49,7256.02,558.54,15-11-2024_16-26-58
avalanche-2,32.29,13128149178,-2.6129,33.15,30.73,144.96,2.8,15-11-2024_16-26-58
wrapped-bitcoin,88963.0,13052196900,-2.13137,91367.0,86883.0,92913.0,3139.17,15-11-2024_16-26-58
sui,3.4,9681935446,1.98079,3.43,3.11,3.51,0.364846,15-11-2024_16-26-58
weth,3098.95,9037032775,-2.91536,3197.85,3024.96,4799.89,82.1,15-11-2024_16-26-58
pepe,2.147e-05,9030870437,-5.50719,2.312e-05,1.909e-05,2.457e-05,5.5142e-08,15-11-2024_16-26-58
chainlink,13.53,8475511240,0.87166,13.53,12.77,52.7,0.148183,15-11-2024_16-26-58
bitcoin-cash,424.55,8383489796,-3.62745,440.53,411.68,3785.82,76.93,15-11-2024_16-26-58
polkadot,4.94,7088675962,-1.78788,5.03,4.73,54.98,2.7,15-11-2024_16-26-58
leo-token,7.47,6905994120,-3.1948,7.75,7.36,8.14,0.799859,15-11-2024_16-26-58
near,5.52,6707994377,4.52516,5.67,5.12,20.44,0.526762,15-11-2024_16-26-58
aptos,11.93,6338066549,1.02209,12.01,11.04,19.92,3.08,15-11-2024_16-26-58
litecoin,82.53,6203814501,2.22462,84.01,77.89,410.26,1.15,15-11-2024_16-26-58
wrapped-eeth,3263.35,5574280546,-2.81498,3362.51,3182.08,4196.87,2231.18,15-11-2024_16-26-58
usds,1.005,5201822839,0.36006,1.012,0.98929,1.057,0.948265,15-11-2024_16-26-58
uniswap,8.29,4976161049,-3.36322,8.58,7.9,44.92,1.03,15-11-2024_16-26-58
crypto-com-chain,0.170621,4604770425,8.19525,0.178668,0.143311,0.965407,0.0121196,15-11-2024_16-26-58
stellar,0.133479,3993165793,5.89421,0.139206,0.122153,0.875563,0.00047612,15-11-2024_16-26-58
internet-computer,8.12,3851019755,-3.23016,8.42,7.86,700.65,2.87,15-11-2024_16-26-58
bittensor,508.36,3749259797,-4.10873,531.43,488.67,757.6,30.83,15-11-2024_16-26-58
dogwifcoin,3.69,3684825596,-11.09192,4.15,3.39,4.83,0.00155464,15-11-2024_16-26-58
ethereum-classic,22.29,3329458544,-1.02335,22.6,21.32,167.09,0.615038,15-11-2024_16-26-58
dai,1.001,3282742979,0.12846,1.005,0.988303,1.22,0.88196,15-11-2024_16-26-58
fetch-ai,1.25,3266963395,-3.29832,1.32,1.2,3.45,0.00816959,15-11-2024_16-26-58
kaspa,0.129425,3254094706,2.43366,0.152213,0.121928,0.207411,0.00017105,15-11-2024_16-26-58
whitebit,22.31,3209991109,-0.23388,22.45,21.94,22.61,3.06,15-11-2024_16-26-58
ethena-usde,1.003,3122707156,0.03054,1.006,0.990633,1.032,0.929486,15-11-2024_16-26-58
polygon-ecosystem-token,0.365105,2891590247,-2.14074,0.373782,0.350839,1.29,0.286453,15-11-2024_16-26-58
blockstack,1.83,2751337607,-6.16666,1.95,1.76,3.86,0.04559639,15-11-2024_16-26-58
monero,145.24,2678503559,-0.88287,149.56,143.72,542.33,0.216177,15-11-2024_16-26-58
bonk,3.82e-05,2649876660,-8.46209,4.206e-05,3.334e-05,4.547e-05,8.6142e-08,15-11-2024_16-26-58
render-token,6.71,2628224425,-4.42985,7.16,6.39,13.53,0.03665669,15-11-2024_16-26-58
hedera-hashgraph,0.069857,2627681229,13.83251,0.070657,0.059606,0.569229,0.00986111,15-11-2024_16-26-58
okb,43.49,2604686483,-1.61575,44.34,42.95,73.8,0.580608,15-11-2024_16-26-58
first-digital-usd,1.002,2419444008,0.12167,1.01,0.982926,1.089,0.942129,15-11-2024_16-26-58
aave,160.49,2400270983,-7.0282,172.65,151.6,661.69,26.02,15-11-2024_16-26-58
mantle,0.70855,2384483553,-5.22077,0.74882,0.683576,1.54,0.307978,15-11-2024_16-26-58
filecoin,3.96,2369075171,-2.91917,4.07,3.8,236.84,2.64,15-11-2024_16-26-58
arbitrum,0.593838,2357354502,-3.97739,0.618436,0.568997,2.39,0.431578,15-11-2024_16-26-58
injective-protocol,23.77,2321529715,-4.97512,25.02,22.64,52.62,0.657401,15-11-2024_16-26-58
floki,0.00022604,2186123839,-2.91449,0.00024205,0.00020471,0.00034495,8.428e-08,15-11-2024_16-26-58
immutable-x,1.23,2058949124,0.26171,1.24,1.14,9.52,0.378055,15-11-2024_16-26-58
celestia,4.87,2030093021,-3.38895,5.05,4.59,20.85,2.08,15-11-2024_16-26-58
vechain,0.0248099,2006632588,-4.94856,0.02610878,0.02372886,0.280991,0.00191713,15-11-2024_16-26-58
cosmos,5.07,1979380802,-0.9066,5.12,4.84,44.45,1.16,15-11-2024_16-26-58
fantom,0.699937,1961293875,-1.66584,0.711794,0.662266,3.46,0.00190227,15-11-2024_16-26-58
optimism,1.56,1948292627,-5.81159,1.65,1.49,4.84,0.402159,15-11-2024_16-26-58
sei-network,0.450389,1910857095,-6.19494,0.480133,0.422072,1.14,0.095364,15-11-2024_16-26-58
bitget-token,1.33,1876133048,-8.44636,1.46,1.32,1.48,0.0142795,15-11-2024_16-26-58
binance-peg-weth,3103.84,1875717707,-2.64294,3197.05,3018.86,3437.12,2171.8,15-11-2024_16-26-58
thorchain,5.52,1866766609,-2.97166,5.69,5.28,20.87,0.00851264,15-11-2024_16-26-58
peanut-the-squirrel,1.84,1835890745,-5.07793,2.09,1.59,2.44,0.03187374,15-11-2024_16-26-58
based-brett,0.185194,1835337573,22.67762,0.187547,0.141812,0.193328,0.00084753,15-11-2024_16-26-58
the-graph,0.176007,1678588853,-2.78301,0.181046,0.16756,2.84,0.052051,15-11-2024_16-26-58
rocket-pool-eth,3459.2,1632933226,-3.2241,3574.45,3378.19,4814.31,887.26,15-11-2024_16-26-58
popcat,1.66,1624459640,-12.69691,1.9,1.55,1.99,0.00379728,15-11-2024_16-26-58
ethena,0.562303,1596189938,1.06298,0.571339,0.525381,1.52,0.195078,15-11-2024_16-26-58
pyth-network,0.418577,1516004338,2.31819,0.418799,0.385464,1.2,0.22352,15-11-2024_16-26-58
mantle-staked-ether,3247.58,1490548167,-2.76687,3346.9,3163.51,4729.53,2142.02,15-11-2024_16-26-58
jupiter-exchange-solana,1.098,1481551833,-6.67688,1.18,1.035,2.0,0.457464,15-11-2024_16-26-58
worldcoin-wld,2.27,1467937107,-4.40182,2.37,2.14,11.74,0.973104,15-11-2024_16-26-58
mantra-dao,1.61,1443086231,4.49078,1.83,1.5,1.83,0.01726188,15-11-2024_16-26-58
renzo-restaked-eth,3177.15,1424867636,-3.43639,3293.71,3096.5,4106.74,2198.04,15-11-2024_16-26-58
solv-btc,88886.0,1422249959,-1.93535,91123.0,86616.0,92768.0,49058.0,15-11-2024_16-26-58
raydium,4.78,1391117099,-3.22875,4.94,4.47,16.83,0.134391,15-11-2024_16-26-58
theta-token,1.31,1312272554,-5.3826,1.39,1.27,15.72,0.04039979,15-11-2024_16-26-58
coinbase-wrapped-btc,89221.0,1311312337,-2.08,91684.0,86944.0,93196.0,57439.0,15-11-2024_16-26-58
algorand,0.158051,1306976895,6.09514,0.15978,0.141935,3.56,0.087513,15-11-2024_16-26-58
kucoin-shares,10.75,1292270109,-1.05542,10.97,10.56,28.83,0.342863,15-11-2024_16-26-58
bitcoin-cash-sv,64.86,1287595001,-0.10775,66.33,62.43,489.75,21.43,15-11-2024_16-26-58
maker,1451.2,1277495515,-2.73292,1492.11,1410.59,6292.31,168.36,15-11-2024_16-26-58
ondo-finance,0.862071,1238982270,-6.80095,0.924979,0.8134,1.48,0.082171,15-11-2024_16-26-58
gatechain-token,9.52,1218549559,-2.22295,9.74,9.29,12.94,0.25754,15-11-2024_16-26-58
msol,262.71,1138240532,-2.67906,270.02,252.4,276.08,8.93,15-11-2024_16-26-58
arweave,16.47,1076896433,-4.93394,17.33,15.72,89.24,0.298788,15-11-2024_16-26-58
beam-2,0.02033915,1059353538,-5.75098,0.02158023,0.01927438,0.04416304,0.0043383,15-11-2024_16-26-58
bittorrent,1.08e-06,1044138601,-3.66392,1.16e-06,1.04e-06,3.43e-06,3.65368e-07,15-11-2024_16-26-58
lido-dao,1.15,1033629199,-0.81233,1.16,1.075,7.3,0.40615,15-11-2024_16-26-58
fasttoken,3.09,1028548269,-1.92427,3.18,2.99,3.18,0.398142,15-11-2024_16-26-58
gala,0.02561649,1013520172,-4.59025,0.02684892,0.02413222,0.824837,0.00013475,15-11-2024_16-26-58
jasmycoin,0.02082274,1007966705,-4.9225,0.02305841,0.01983436,4.79,0.00275026,15-11-2024_16-26-58
ether-fi-staked-eth,3091.69,1005753442,-2.5488,3172.56,3013.84,5307.23,2155.76,15-11-2024_16-26-58
helium,5.79,995980506,-3.1122,5.98,5.61,54.88,0.113248,15-11-2024_16-26-58
lombard-staked-btc,89086.0,972592955,-1.53281,91008.0,86412.0,93317.0,52119.0,15-11-2024_16-26-58
mog-coin,2.5e-06,963821329,1.99936,2.48e-06,2.21e-06,2.6e-06,4.526e-09,15-11-2024_16-26-58
cat-in-a-dogs-world,0.01067046,946045570,-12.1382,0.01214459,0.0098114,0.01237665,0.00091206,15-11-2024_16-26-58
tokenize-xchange,11.82,945865321,-3.09242,12.24,11.73,22.3,0.111255,15-11-2024_16-26-58
goatseus-maximus,0.934605,934558043,-6.47584,0.99932,0.826504,1.041,0.04353971,15-11-2024_16-26-58
starknet,0.445958,934144871,-4.05541,0.464808,0.421718,4.41,0.321161,15-11-2024_16-26-58
neiro-3,0.00218168,916086660,-15.96203,0.00259606,0.00194283,0.00301761,2.44e-06,15-11-2024_16-26-58
quant-network,62.53,910240382,0.71445,63.29,59.76,427.42,0.215773,15-11-2024_16-26-58
flow,0.58912,909845351,-1.13366,0.595875,0.558595,42.4,0.391969,15-11-2024_16-26-58
solv-protocol-solvbtc-bbn,88857.0,883295382,-1.88427,91193.0,86675.0,92658.0,11402.13,15-11-2024_16-26-58
eos,0.573105,868377375,4.37115,0.576741,0.525161,22.71,0.402746,15-11-2024_16-26-58
arbitrum-bridged-wbtc-arbitrum-one,89034.0,867312375,-1.89805,91420.0,86661.0,92925.0,49594.0,15-11-2024_16-26-58
matic-network,0.368226,866826427,-1.46799,0.374187,0.357078,2.92,0.00314376,15-11-2024_16-26-58
jupiter-staked-sol,224.97,857033259,-2.32404,230.33,215.7,235.41,114.32,15-11-2024_16-26-58
dydx-chain,1.22,856276515,0.52708,1.22,1.11,4.52,0.809127,15-11-2024_16-26-58
aioz-network,0.754288,855873843,3.51046,0.752914,0.66363,2.65,0.01099588,15-11-2024_16-26-58
ecash,4.331e-05,855763021,-0.05629,4.441e-05,4.202e-05,0.00038001,1.847e-05,15-11-2024_16-26-58
pendle,5.2,850010999,-2.35837,5.32,4.98,7.5,0.03377729,15-11-2024_16-26-58
aerodrome-finance,1.22,841815262,-6.00817,1.3,1.18,2.31,1.861e-05,15-11-2024_16-26-58
coredaoorg,0.904563,832391556,-3.96117,0.943172,0.870902,6.14,0.334237,15-11-2024_16-26-58
flare-networks,0.01543826,810935886,5.57155,0.01577208,0.01405099,0.150073,0.00827405,15-11-2024_16-26-58
ordinals,38.63,810095062,-9.41727,43.13,36.92,95.52,2.86,15-11-2024_16-26-58
neo,11.21,790954159,-2.83792,11.54,10.82,198.38,0.078349,15-11-2024_16-26-58
elrond-erd-2,28.42,784051931,-3.74816,29.52,27.42,545.64,6.51,15-11-2024_16-26-58
axie-infinity,5.04,770707935,-6.10886,5.36,4.84,164.9,0.123718,15-11-2024_16-26-58
apecoin,1.067,767997562,-9.2241,1.18,1.013,26.7,0.482009,15-11-2024_16-26-58
binance-peg-dogecoin,0.369202,764394891,-7.84237,0.412455,0.35484,0.439184,0.04955727,15-11-2024_16-26-58
notcoin,0.00745024,761256934,-7.71264,0.00807449,0.00713174,0.02836145,0.00461057,15-11-2024_16-26-58
akash-network,3.08,761180328,-4.38216,3.22,2.89,8.07,0.164994,15-11-2024_16-26-58
nexo,1.18,758217557,-1.08217,1.21,1.15,4.07,0.04515276,15-11-2024_16-26-58
usdd,0.998184,752167235,-0.13648,1.003,0.991065,1.052,0.928067,15-11-2024_16-26-58
kaia,0.125825,736653747,3.67446,0.128839,0.117213,0.153618,0.113064,15-11-2024_16-26-58
mina-protocol,0.617594,729724999,-5.27272,0.65197,0.583051,9.09,0.333518,15-11-2024_16-26-58
tezos,0.720412,728189477,-3.31948,0.745147,0.687709,9.12,0.350476,15-11-2024_16-26-58
